assets/tileset.png
38,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,38,38
38,38,48,48,48,48,48,48,48,48,48,48,48,48,48,51,51,51,51,51,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,51,38,38
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,51,51,51,38,38,38,38,38,38,38,48,48,48,48,48,48,48,48,48,48,51,51,51
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,51,51,51,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,51,48,48
48,48,48,38,38,38,48,48,48,48,48,48,38,38,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,51,38,48,48,48,48,48,48,48,48
48,48,48,38,48,48,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,48,48,51,51,51,38,48,48,48,48,48,48,48,48
48,48,48,38,48,48,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,48,38,38,38,38,48,48,51,51,51,38,48,48,48,48,48,48,48,48
48,48,48,38,48,48,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,48,48,48,48,38,48,48,51,51,51,38,48,48,48,48,48,48,48,48
48,48,48,38,48,48,48,48,48,48,48,48,48,48,38,48,48,48,38,38,48,48,48,48,48,38,48,48,48,51,51,48,48,48,48,48,48,48,48,48
48,48,48,38,48,48,48,48,38,38,38,38,38,48,38,48,48,48,38,38,48,48,48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48
48,48,48,38,48,48,48,38,38,48,48,48,38,48,38,48,48,48,38,38,48,48,48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48
48,48,48,38,48,48,48,38,48,48,48,48,38,38,38,48,48,48,48,48,48,48,48,48,48,38,38,38,38,38,38,38,48,48,48,48,48,48,48,48
48,48,48,38,48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48
48,48,48,38,48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,48,51,51,38,48,48,48,48
48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,48,38,38,48,48,48,48,48,48,48,38,48,48,48,48,48,48,51,51,51,38,48,48,48,48
48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,48,38,38,48,48,48,48,38,38,38,38,48,48,48,48,48,48,51,51,51,38,48,48,48,48
48,48,48,38,48,48,48,48,48,48,38,38,38,48,48,48,48,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,48,51,51,38,48,48,48,48
48,48,48,38,38,48,48,48,48,48,48,48,38,38,48,48,48,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,48,48,48,38,48,48,48,48
48,48,48,38,38,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48
48,48,48,38,38,48,48,48,48,48,48,48,48,38,48,48,48,48,48,48,38,38,38,38,38,38,38,38,38,38,38,48,48,48,48,48,48,48,48,48
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
38,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,38,38
38,38,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,38
